month,high_temp_f,low_tem_f,avg_temp_f,precipitation_inch,humidity,dew_point_f,wind_mph,pressure_hg,visibility_mi
january,64,46,55,3.85,71,45,15,30.15,9
february,68,50,59,2.87,72,49,15,30.1,9
march,74,56,65,3.3,71,55,15,30.05,9
april,80,62,71,3.81,71,60,15,29.98,10
may,86,69,78,5.5,72,67,14,29.96,10
june,91,75,83,5.94,72,73,11,29.94,10
july,93,76,85,4.78,71,74,10,30.0,10
august,94,77,85,5.31,70,74,9,29.98,10
september,90,73,81,5.48,70,70,10,29.97,10
october,83,64,73,5.8,69,62,12,30.03,10
november,73,54,64,3.76,72,54,13,30.12,10
december,66,48,57,4.19,73,48,14,30.13,9
