month,high_temp_f,low_tem_f,avg_temp_f,precipitation_inch,humidity,dew_point_f,wind_mph,pressure_hg,visibility_mi
january,69,49,59,3.37,59,42,3,30.08,10
february,68,50,59,3.57,62,44,4,30.05,10
march,70,53,62,2.09,64,47,4,30.02,9
april,73,55,64,0.69,64,49,5,29.98,10
may,74,59,66,0.35,68,54,5,29.94,9
june,78,62,70,0.09,69,57,5,29.9,9
july,83,65,74,0.04,68,61,4,29.92,9
august,85,66,75,0.07,67,61,4,29.9,9
september,83,64,74,0.14,66,60,4,29.88,9
october,79,60,70,0.62,63,54,3,29.94,9
november,73,54,63,0.85,57,46,3,30.03,9
december,68,49,58,2.52,57,41,3,30.08,10
