month,high_temp_f,low_tem_f,avg_temp_f,precipitation_inch,humidity,dew_point_f,wind_mph,pressure_hg,visibility_mi
january,77,61,69,1.83,71,59,13,30.12,9
february,79,64,71,2.22,71,61,14,30.1,9
march,81,66,74,2.37,67,61,15,30.07,9
april,84,70,77,3.27,66,65,16,30.03,10
may,87,74,80,6.32,67,68,14,30.01,9
june,89,76,83,10.62,73,73,11,30.02,9
july,91,78,84,7.41,71,74,11,30.05,9
august,91,78,84,9.48,73,74,11,30.01,9
september,89,77,83,10.11,75,74,11,29.96,9
october,86,74,80,7.11,72,71,13,29.97,9
november,82,69,75,3.69,71,65,13,30.04,9
december,79,65,72,2.5,72,62,13,30.09,9
