month,high_temp_f,low_tem_f,avg_temp_f,precipitation_inch,humidity,dew_point_f,wind_mph,pressure_hg,visibility_mi
january,40,28,34,3.61,60,21,13,30.07,9
february,42,29,36,3.37,57,21,13,30.06,9
march,50,35,43,4.25,57,27,12,30.06,9
april,62,45,53,4.06,56,36,11,30.0,9
may,71,54,63,4.02,62,48,8,30.0,9
june,80,64,72,4.5,65,59,7,29.96,9
july,85,70,77,4.83,65,64,6,29.96,9
august,84,69,76,4.62,66,63,6,30.0,9
september,76,62,69,4.53,67,57,7,30.06,9
october,65,51,58,4.48,66,46,8,30.06,9
november,54,41,48,3.56,62,35,10,30.11,9
december,45,33,39,4.27,62,27,11,30.09,9
