month,high_temp_f,low_tem_f,avg_temp_f,precipitation_inch,humidity,dew_point_f,wind_mph,pressure_hg,visibility_mi
january,48,37,43,4.41,81,37,9,30.07,9
february,50,37,44,3.09,76,37,9,30.06,10
march,54,40,47,3.26,73,38,10,30.04,10
april,59,44,52,2.2,68,41,10,30.05,10
may,66,50,58,1.56,65,46,9,30.04,11
june,71,54,63,1.07,63,49,9,30.03,11
july,77,58,68,0.39,61,53,8,30.05,12
august,77,59,68,0.57,62,54,8,30.02,11
september,71,54,63,1.28,68,51,8,30.02,11
october,61,47,54,3.05,78,47,8,30.07,9
november,53,41,47,5.1,81,41,9,30.06,9
december,47,37,42,4.86,82,37,9,30.08,9
